"Verify that for users when limit is set data module shows a bar with current data used and the value of the limit set","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146906/")"
"Verify that a notification appears in notification tray when 3G data usage surpass the limit set","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146910/")"
"For users, no limits configured in data usage application, check that 3G data used, and timestamp for last 3G connection are both correct.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146907/")"
"Verify that for users when limit is set data module shows a bar with current data used and the value of the limit set.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146908/")"
"Verify that for users, when limit is set, the data module shows a bar with current data used and the value of the set limit.","1","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146905/")"
"Verify that users, tapping in the data module, data usage view is opened in Cost Control app.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146904/")"
"Verify changing the date to a future date inside a monthly period is handled correctly regarding SMS count, for postpaid users","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146903/")"
"Verify when using a 3G data connection, the amount of data used is shown in the 3G data usage module.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146902/")"
"Verify when using a 3G data connection, the amount of data used is shown in the data usage details view.","1","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146901/")"
"Verify when using a Wifi connection, the amount of data used is shown in the data usage details view.","1","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146900/")"
"Verify that when using a new SIM (not configured yet) after having used another one, data consumption records are not mixed","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146899/")"
"Verify that users can reset the 3G data usage counters ( SIM card without billing support).","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146898/")"
"Verify that when a previously configured SIM card is inserted, that 3G usage data is recovered and correctly displayed. SIM without billing support.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146897/")"
"Verify that 3G consumption data is recovered if a previously configured SIM is inserted after data is reset on another postpaid SIM. SIM without billing support","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146896/")"
"Verify that users can reset the 3G data usage counters, and that the Cancel button on confirmation screen if functional. (SIM card without billing support)","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146895/")"
"Verify that when a user resets the 3G usage data, then the last data available is shown. SIM without billing support.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146894/")"
"Verify if a users reset the 3G data consumption data, 3G data usage will be set to 0. SIM without billing support.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146893/")"
"Verify the settings available for users in cost control application are correct.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146892/")"
"Verify that when an already configured SIM is inserted, then limit is recovered (if set) and alarms are shown. (if aplicable)","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146891/")"
"Verify when a not yet configured SIM card is inserted, no limit is set.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146890/")"
"Verify the format of the graph is correct for monthly billing period","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132508/")"
"Verify the format of the graph is correct for never billing period","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132509/")"
"Limit button, access to the input limit screen and press cancel button","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132498/")"
"Configure the limit in GB format","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132499/")"
"Configure the limit in MB format","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132500/")"
"Press limit button and verify that the user access the limit configuration mode","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132501/")"
"Verify that the user is able to open the Settings screen in the Cost Control app.","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132502/")"
"Verify that the user can enable data use alerts in the Cost Control app.","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132503/")"
"[Cost Control][Usage app]Launching Usage without a SIM should display appropriate message","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132505/")"
"[Cost Control] Verify there is no text overlap on the Data Report page in the Portuguese Language","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132506/")"
"Verify the format of the graph is correct for weekly billing period","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132507/")"
"Verify when user SIM Card (without billing support)reaches 80% of the alert, the data module in the utility tray it will change its background color to the alert-background color. (orange)","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132489/")"
"Verify that users (SIM Card without billing support)can decide to see the 3G and Wifi data used","2","Firefox OS v2.1","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/132493/")"
